transaction_id,account_code,level_code,version,period_date,amount
TXN0000001,HC002,L04,Actual,2025-08-01,18.0
TXN0000002,EXP024,L10,Actual,2026-04-01,64923.08
TXN0000003,EXP010,L07,Forecast,2026-05-01,240443.88
TXN0000004,EXP052,L04,Budget,2025-02-01,391706.28
TXN0000005,EXP024,L10,Budget,2025-08-01,37809.06
TXN0000006,EXP059,L07,Budget,2025-03-01,246949.08
TXN0000007,EXP036,L06,Budget,2025-09-01,33543.63
TXN0000008,EXP060,L07,Actual,2026-03-01,61313.68
TXN0000009,EXP005,L05,Actual,2025-09-01,348661.47
TXN0000010,EXP007,L02,Budget,2026-02-01,126016.14
TXN0000011,EXP034,L11,Budget,2025-08-01,348980.42
TXN0000012,EXP040,L10,Budget,2025-06-01,116720.71
TXN0000013,EXP031,L10,Actual,2025-06-01,96025.6
TXN0000014,EXP052,L04,Budget,2025-03-01,28818.08
TXN0000015,EXP002,L10,Actual,2025-06-01,214513.42
TXN0000016,EXP050,L10,Actual,2026-06-01,304822.39
TXN0000017,EXP047,L07,Budget,2025-05-01,214395.62
TXN0000018,EXP007,L02,Budget,2025-01-01,131540.19
TXN0000019,EXP006,L08,Actual,2026-05-01,325695.69
TXN0000020,EXP033,L05,Forecast,2025-02-01,158734.66
TXN0000021,EXP006,L08,Budget,2026-04-01,64051.95
TXN0000022,EXP004,L10,Budget,2025-12-01,230398.07
TXN0000023,HC003,L08,Actual,2025-08-01,30.0
TXN0000024,EXP007,L02,Forecast,2025-04-01,285945.02
TXN0000025,EXP006,L08,Forecast,2025-02-01,28695.46
TXN0000026,EXP025,L08,Budget,2025-01-01,116306.59
TXN0000027,EXP034,L11,Actual,2026-01-01,221025.67
TXN0000028,EXP047,L07,Actual,2026-05-01,187714.85
TXN0000029,EXP042,L12,Forecast,2025-12-01,314981.12
TXN0000030,EXP037,L01,Forecast,2026-01-01,301149.24
TXN0000031,EXP034,L11,Actual,2025-06-01,202254.71
TXN0000032,EXP032,L01,Budget,2025-02-01,84343.42
TXN0000033,EXP039,L07,Actual,2025-10-01,47983.41
TXN0000034,EXP058,L12,Actual,2026-01-01,151625.8
TXN0000035,EXP024,L10,Budget,2025-11-01,195914.19
TXN0000036,EXP049,L04,Budget,2025-07-01,175343.94
TXN0000037,EXP041,L06,Budget,2026-03-01,346348.48
TXN0000038,EXP051,L01,Forecast,2025-05-01,260330.39
TXN0000039,EXP020,L04,Actual,2025-08-01,58641.5
TXN0000040,EXP058,L12,Budget,2026-03-01,102662.14
TXN0000041,EXP026,L04,Actual,2026-03-01,149883.71
TXN0000042,EXP009,L04,Actual,2025-05-01,167488.41
TXN0000043,REV004,L01,Budget,2025-05-01,812483.04
TXN0000044,EXP060,L07,Budget,2025-10-01,150866.19
TXN0000045,EXP023,L07,Actual,2026-01-01,355044.52
TXN0000046,EXP056,L07,Actual,2025-03-01,240098.11
TXN0000047,EXP023,L07,Forecast,2026-06-01,191889.02
TXN0000048,EXP060,L07,Actual,2025-03-01,142288.01
TXN0000049,EXP008,L02,Actual,2026-05-01,68046.27
TXN0000050,EXP002,L10,Budget,2026-06-01,109304.23
TXN0000051,REV002,L09,Forecast,2025-07-01,586073.33
TXN0000052,EXP024,L10,Budget,2026-03-01,162558.0
TXN0000053,EXP052,L04,Forecast,2026-03-01,140076.45
TXN0000054,EXP021,L02,Actual,2025-12-01,22264.71
TXN0000055,EXP034,L11,Forecast,2025-04-01,353646.15
TXN0000056,EXP049,L04,Actual,2026-02-01,305928.58
TXN0000057,REV003,L10,Forecast,2026-06-01,669364.77
TXN0000058,EXP037,L01,Forecast,2025-03-01,399460.52
TXN0000059,EXP005,L05,Actual,2025-11-01,264925.27
TXN0000060,EXP029,L08,Forecast,2025-09-01,59292.69
TXN0000061,EXP049,L04,Budget,2025-03-01,247515.99
TXN0000062,HC003,L08,Actual,2025-08-01,3.0
TXN0000063,REV003,L10,Actual,2025-01-01,860525.71
TXN0000064,EXP008,L02,Actual,2025-07-01,168200.44
TXN0000065,EXP053,L08,Budget,2026-02-01,219728.28
TXN0000066,HC002,L04,Budget,2025-01-01,5.0
TXN0000067,EXP006,L08,Budget,2025-09-01,291440.7
TXN0000068,EXP051,L01,Budget,2025-08-01,188386.03
TXN0000069,EXP006,L08,Forecast,2026-04-01,47466.33
TXN0000070,EXP043,L10,Actual,2025-11-01,247485.74
TXN0000071,EXP024,L10,Actual,2025-09-01,231663.3
TXN0000072,EXP036,L06,Forecast,2025-11-01,253346.76
TXN0000073,EXP021,L02,Forecast,2025-05-01,267765.24
TXN0000074,EXP054,L07,Forecast,2026-05-01,273675.37
TXN0000075,EXP052,L04,Forecast,2025-08-01,92027.16
TXN0000076,REV002,L09,Actual,2026-04-01,281360.25
TXN0000077,EXP033,L05,Actual,2026-04-01,389158.94
TXN0000078,EXP026,L04,Budget,2025-10-01,321066.17
TXN0000079,HC002,L04,Budget,2025-05-01,36.0
TXN0000080,EXP010,L07,Budget,2025-08-01,186810.34
TXN0000081,EXP005,L05,Budget,2026-06-01,203325.78
TXN0000082,EXP027,L02,Forecast,2026-01-01,168878.03
TXN0000083,EXP022,L04,Actual,2025-03-01,98512.69
TXN0000084,EXP040,L10,Actual,2025-03-01,310436.48
TXN0000085,EXP060,L07,Budget,2026-02-01,163558.03
TXN0000086,EXP028,L12,Budget,2026-02-01,190323.31
TXN0000087,REV002,L09,Actual,2025-12-01,150492.44
TXN0000088,HC001,L04,Actual,2026-04-01,60.0
TXN0000089,EXP026,L04,Forecast,2025-07-01,163316.44
TXN0000090,EXP055,L06,Budget,2025-10-01,98807.88
TXN0000091,EXP052,L04,Budget,2025-11-01,65358.42
TXN0000092,EXP021,L02,Forecast,2026-01-01,341573.04
TXN0000093,EXP002,L10,Budget,2025-03-01,318885.33
TXN0000094,REV001,L04,Budget,2026-06-01,414261.23
TXN0000095,EXP058,L12,Budget,2025-05-01,396751.23
TXN0000096,REV001,L04,Actual,2025-06-01,77781.93
TXN0000097,EXP019,L03,Actual,2025-12-01,267091.18
TXN0000098,EXP001,L02,Budget,2025-06-01,357366.13
