level_code,department,position,period_date,planned_fte
L02,Regulatory Affairs,Director,2025-04-01,8.6
L04,Marketing,Engineer,2025-11-01,2.7
L08,Quality Assurance,Manager,2026-05-01,7.3
L01,Supply Chain,Technician,2025-04-01,7.9
L11,Marketing,Associate,2026-06-01,11.8
L10,Finance,Senior Manager,2025-08-01,0.8
L09,Manufacturing,Analyst,2025-01-01,10.8
L02,Customer Service,Technician,2025-11-01,3.3
L02,Customer Service,Director,2025-05-01,9.5
L09,R&D,Technician,2025-10-01,5.9
L07,Finance,Technician,2025-05-01,6.8
L03,R&D,Senior Manager,2026-06-01,11.2
L04,Manufacturing,Coordinator,2025-08-01,9.2
L08,IT,Engineer,2025-08-01,5.8
L10,R&D,Manager,2025-04-01,3.1
L11,Customer Service,Associate,2025-09-01,11.2
L04,Human Resources,Coordinator,2025-01-01,4.2
L06,IT,Director,2025-12-01,11.0
L06,Customer Service,Lead,2025-10-01,8.5
L01,IT,Technician,2025-06-01,7.1
L12,Manufacturing,Coordinator,2026-02-01,7.0
L01,Human Resources,Technician,2025-12-01,10.8
L09,Customer Service,Senior Manager,2026-02-01,0.7
L02,Human Resources,Engineer,2026-01-01,4.3
L08,Regulatory Affairs,Specialist,2026-03-01,9.2
L06,Finance,Engineer,2025-03-01,5.1
L03,Finance,Coordinator,2025-03-01,11.2
L07,Facilities,Senior Manager,2025-03-01,3.9
L09,Manufacturing,Manager,2025-12-01,3.0
L01,IT,Technician,2025-07-01,6.0
L07,Customer Service,Lead,2025-06-01,7.9
L07,Sales,Technician,2025-10-01,5.8
L08,Quality Assurance,Director,2025-01-01,6.6
L11,Quality Assurance,Specialist,2025-05-01,10.9
L03,Regulatory Affairs,Technician,2026-05-01,0.6
L01,Sales,Analyst,2026-03-01,8.7
L05,R&D,Director,2025-11-01,3.3
L07,Customer Service,Analyst,2025-11-01,6.6
L06,Finance,Technician,2025-01-01,4.9
L08,Customer Service,Coordinator,2025-01-01,2.4
L03,Marketing,Associate,2025-02-01,3.3
L04,Regulatory Affairs,Manager,2025-11-01,8.3
L05,Marketing,Manager,2025-08-01,10.3
L06,Facilities,Senior Manager,2025-05-01,6.5
L04,Manufacturing,Technician,2025-01-01,11.0
L03,Customer Service,Coordinator,2026-01-01,2.6
L12,Customer Service,Lead,2025-03-01,5.6
L02,Finance,Technician,2025-06-01,7.4
L03,Manufacturing,Technician,2025-03-01,5.2
L09,Quality Assurance,Analyst,2025-12-01,8.4
L10,Quality Assurance,Coordinator,2026-01-01,7.4
L08,Manufacturing,Coordinator,2025-08-01,11.8
L06,Manufacturing,Specialist,2025-04-01,10.1
L10,Quality Assurance,Senior Manager,2025-02-01,4.0
L06,Manufacturing,Manager,2025-05-01,1.0
L02,Facilities,Lead,2025-02-01,1.7
L04,Facilities,Specialist,2025-07-01,4.8
L04,Finance,Lead,2026-04-01,1.5
L01,Manufacturing,Engineer,2025-01-01,2.6
L10,Facilities,Director,2026-02-01,1.6
L03,Quality Assurance,Director,2026-01-01,8.7
L11,Sales,Associate,2025-03-01,6.4
L06,Marketing,Lead,2025-10-01,0.5
L08,Customer Service,Lead,2025-05-01,3.1
L05,Marketing,Specialist,2025-05-01,9.0
L02,Supply Chain,Associate,2026-03-01,11.0
L09,R&D,Technician,2025-11-01,4.8
L08,Human Resources,Technician,2025-08-01,5.6
L12,R&D,Lead,2025-10-01,11.4
L06,Regulatory Affairs,Lead,2025-04-01,11.1
L11,Finance,Associate,2026-02-01,11.6
L12,Supply Chain,Director,2025-02-01,4.5
L11,Finance,Coordinator,2025-03-01,1.9
L10,Quality Assurance,Senior Manager,2025-03-01,9.9
L11,Marketing,Associate,2026-06-01,1.1
L11,R&D,Lead,2025-02-01,2.3
L04,R&D,Analyst,2026-01-01,6.0
L09,Facilities,Associate,2025-01-01,4.9
L08,Facilities,Coordinator,2025-07-01,4.4
L03,Quality Assurance,Specialist,2026-04-01,1.9
L06,Customer Service,Manager,2025-03-01,10.5
L07,Facilities,Senior Manager,2025-10-01,7.9
L06,Supply Chain,Specialist,2026-04-01,1.5
L05,Quality Assurance,Lead,2025-10-01,2.7
L01,Manufacturing,Specialist,2026-03-01,10.0
L04,Customer Service,Senior Manager,2025-05-01,10.5
L12,Human Resources,Analyst,2025-07-01,2.1
L07,Marketing,Lead,2026-05-01,10.3
L07,Customer Service,Specialist,2025-05-01,11.7
L09,Human Resources,Technician,2025-04-01,6.1
L09,Regulatory Affairs,Associate,2026-02-01,4.4
L02,Marketing,Specialist,2026-05-01,2.1
L02,R&D,Technician,2025-01-01,9.9
L06,Quality Assurance,Coordinator,2026-01-01,3.9
L07,Finance,Specialist,2025-12-01,1.2
L03,Finance,Manager,2025-09-01,4.1
L06,Regulatory Affairs,Specialist,2026-04-01,11.4
L06,Facilities,Coordinator,2025-11-01,11.2
L07,Customer Service,Associate,2026-02-01,3.5
L08,IT,Technician,2026-02-01,2.3
L05,Customer Service,Technician,2025-12-01,10.1
L01,Sales,Coordinator,2025-05-01,4.1
L07,Customer Service,Manager,2026-02-01,4.3
L09,Marketing,Analyst,2025-05-01,9.9
L01,Supply Chain,Manager,2026-03-01,10.6
L12,Finance,Manager,2025-08-01,9.0
L12,Manufacturing,Lead,2026-03-01,7.2
L04,Sales,Technician,2025-05-01,1.3
L10,R&D,Technician,2026-02-01,10.5
L11,Marketing,Engineer,2025-06-01,2.2
L04,Sales,Associate,2026-03-01,6.8
L12,Human Resources,Engineer,2025-10-01,11.0
L08,Human Resources,Lead,2026-03-01,10.4
L03,Marketing,Analyst,2026-05-01,3.9
L11,Manufacturing,Associate,2025-01-01,2.8
L11,Customer Service,Senior Manager,2025-05-01,1.6
L08,IT,Manager,2025-08-01,2.7
L11,Human Resources,Manager,2025-02-01,11.2
