level_code,metric_name,metric_value,period_date
L04,Capex to Revenue %,36.03,2025-09-01
L12,Days Sales Outstanding,38.5,2025-04-01
L08,Revenue per FTE,218283.24,2026-02-01
L06,Headcount Utilization %,4.37,2025-11-01
L12,Capex to Revenue %,42.52,2026-02-01
L11,Headcount Utilization %,22.62,2026-01-01
L05,Revenue per FTE,145411.26,2025-06-01
L12,Operating Margin %,27.87,2025-12-01
L11,Days Sales Outstanding,38.0,2026-05-01
L05,Revenue per FTE,286628.16,2025-01-01
L07,Days Sales Outstanding,46.6,2025-08-01
L05,Headcount Utilization %,37.29,2025-05-01
L12,Revenue per FTE,334529.53,2025-06-01
L07,Headcount Utilization %,37.58,2026-04-01
L09,Capex to Revenue %,40.58,2025-06-01
L08,Headcount Utilization %,43.19,2025-10-01
L03,Revenue per FTE,393708.05,2025-02-01
L11,Operating Margin %,15.24,2026-06-01
L12,Days Sales Outstanding,61.0,2026-02-01
L07,Revenue per FTE,397669.24,2026-05-01
L02,Cost per Unit Shipped,381.49,2026-02-01
L04,Capex to Revenue %,26.21,2025-10-01
L12,Days Sales Outstanding,67.7,2026-06-01
L11,Days Sales Outstanding,37.8,2025-07-01
L06,Operating Margin %,32.68,2025-01-01
L02,Headcount Utilization %,38.41,2025-03-01
L03,Days Sales Outstanding,51.8,2026-06-01
L10,Revenue per FTE,389388.17,2025-03-01
L10,Cost per Unit Shipped,5.76,2025-07-01
L05,Cost per Unit Shipped,430.53,2026-05-01
L03,Cost per Unit Shipped,232.53,2026-04-01
L09,Days Sales Outstanding,22.7,2026-04-01
L04,Days Sales Outstanding,42.8,2025-11-01
L01,Operating Margin %,10.49,2026-02-01
L05,Cost per Unit Shipped,109.59,2025-10-01
L10,Revenue per FTE,242774.41,2026-01-01
L10,Days Sales Outstanding,32.8,2025-08-01
L09,Headcount Utilization %,9.63,2025-05-01
L06,Days Sales Outstanding,24.9,2026-02-01
L12,Cost per Unit Shipped,227.0,2025-02-01
L04,Headcount Utilization %,14.26,2026-03-01
L06,Days Sales Outstanding,68.7,2026-03-01
L03,Cost per Unit Shipped,445.65,2026-02-01
L07,Operating Margin %,20.56,2026-01-01
L06,Cost per Unit Shipped,257.17,2025-02-01
L09,Capex to Revenue %,36.8,2026-04-01
L05,Days Sales Outstanding,53.7,2025-12-01
L11,Revenue per FTE,381103.68,2025-08-01
L09,Cost per Unit Shipped,73.48,2025-11-01
L06,Operating Margin %,34.0,2026-03-01
L05,Headcount Utilization %,21.95,2025-08-01
L08,Days Sales Outstanding,46.1,2026-06-01
L01,Revenue per FTE,87208.76,2025-05-01
L08,Days Sales Outstanding,39.5,2026-03-01
L05,Capex to Revenue %,16.43,2026-03-01
L05,Headcount Utilization %,14.95,2025-03-01
L08,Operating Margin %,3.61,2025-07-01
L10,Headcount Utilization %,29.31,2025-02-01
L01,Capex to Revenue %,33.49,2025-09-01
L07,Revenue per FTE,194261.87,2026-01-01
L09,Operating Margin %,33.77,2025-08-01
L12,Revenue per FTE,158133.17,2025-11-01
L06,Cost per Unit Shipped,185.9,2026-02-01
L06,Operating Margin %,39.06,2025-07-01
L03,Days Sales Outstanding,74.1,2026-02-01
L11,Cost per Unit Shipped,431.54,2025-01-01
L01,Revenue per FTE,89249.01,2026-03-01
L10,Cost per Unit Shipped,39.72,2025-03-01
L12,Operating Margin %,26.74,2025-10-01
L11,Revenue per FTE,104894.92,2026-02-01
L10,Cost per Unit Shipped,286.01,2026-05-01
L12,Days Sales Outstanding,74.6,2025-11-01
L02,Capex to Revenue %,31.05,2025-04-01
L06,Capex to Revenue %,33.95,2025-07-01
L08,Revenue per FTE,216443.27,2026-01-01
L05,Cost per Unit Shipped,237.84,2025-10-01
L07,Headcount Utilization %,29.28,2026-05-01
L11,Days Sales Outstanding,46.8,2026-05-01
L01,Revenue per FTE,314584.85,2026-03-01
L07,Days Sales Outstanding,50.1,2026-01-01
L03,Cost per Unit Shipped,371.49,2025-01-01
L12,Operating Margin %,18.78,2025-12-01
L10,Capex to Revenue %,1.74,2025-12-01
L11,Capex to Revenue %,13.15,2025-03-01
L03,Cost per Unit Shipped,347.37,2025-08-01
L01,Cost per Unit Shipped,289.25,2025-06-01
L03,Days Sales Outstanding,70.0,2026-02-01
L01,Revenue per FTE,348216.29,2025-09-01
L11,Operating Margin %,19.58,2026-06-01
L03,Headcount Utilization %,3.41,2025-09-01
L02,Operating Margin %,24.41,2025-03-01
L07,Headcount Utilization %,22.32,2025-10-01
L08,Operating Margin %,25.28,2025-07-01
L02,Revenue per FTE,314634.35,2026-03-01
L09,Revenue per FTE,163568.05,2025-06-01
L05,Revenue per FTE,80852.08,2025-05-01
L06,Capex to Revenue %,13.41,2025-09-01
L01,Cost per Unit Shipped,458.58,2025-06-01
L04,Capex to Revenue %,29.39,2026-04-01
L06,Headcount Utilization %,41.29,2026-06-01
L11,Cost per Unit Shipped,209.74,2026-02-01
L08,Days Sales Outstanding,25.3,2025-10-01
L02,Operating Margin %,4.36,2025-12-01
L11,Operating Margin %,7.22,2025-01-01
L09,Revenue per FTE,165611.44,2025-07-01
L07,Revenue per FTE,340708.72,2026-06-01
L06,Operating Margin %,35.14,2026-05-01
L06,Cost per Unit Shipped,348.41,2025-06-01
L08,Capex to Revenue %,16.12,2025-11-01
L10,Capex to Revenue %,36.59,2025-02-01
L09,Revenue per FTE,373335.59,2025-03-01
L09,Days Sales Outstanding,39.9,2025-11-01
L09,Headcount Utilization %,21.27,2026-01-01
L10,Operating Margin %,24.67,2025-07-01
L02,Capex to Revenue %,14.69,2025-08-01
L10,Headcount Utilization %,40.23,2026-06-01
L01,Cost per Unit Shipped,496.41,2025-02-01
L09,Headcount Utilization %,39.11,2025-09-01
L04,Revenue per FTE,305144.78,2025-05-01
L03,Revenue per FTE,112894.83,2025-06-01
L10,Revenue per FTE,318260.1,2026-03-01
L04,Headcount Utilization %,8.63,2025-04-01
L09,Revenue per FTE,231098.21,2025-05-01
L04,Revenue per FTE,396846.8,2025-03-01
L05,Cost per Unit Shipped,48.62,2026-01-01
L04,Headcount Utilization %,39.84,2025-11-01
L06,Revenue per FTE,351671.96,2025-07-01
L02,Revenue per FTE,92477.26,2025-08-01
L01,Revenue per FTE,83284.08,2025-10-01
L08,Capex to Revenue %,30.56,2025-03-01
L02,Headcount Utilization %,16.86,2026-02-01
L09,Revenue per FTE,182325.34,2025-11-01
L07,Cost per Unit Shipped,122.5,2026-02-01
L05,Revenue per FTE,118297.39,2025-10-01
L09,Cost per Unit Shipped,300.83,2025-06-01
L02,Operating Margin %,42.31,2026-02-01
L10,Revenue per FTE,128864.29,2025-11-01
L07,Revenue per FTE,379179.4,2025-03-01
L12,Headcount Utilization %,19.45,2025-01-01
L02,Cost per Unit Shipped,491.19,2026-01-01
L07,Cost per Unit Shipped,13.55,2025-03-01
L12,Cost per Unit Shipped,320.04,2026-05-01
L03,Cost per Unit Shipped,71.33,2025-09-01
L12,Headcount Utilization %,24.56,2026-01-01
L07,Capex to Revenue %,7.69,2025-05-01
L02,Cost per Unit Shipped,181.14,2026-04-01
L11,Days Sales Outstanding,55.8,2025-06-01
L07,Capex to Revenue %,43.0,2026-01-01
L01,Capex to Revenue %,28.78,2025-07-01
L08,Capex to Revenue %,33.81,2025-03-01
L01,Revenue per FTE,124528.74,2025-08-01
L11,Cost per Unit Shipped,248.68,2025-12-01
L03,Capex to Revenue %,3.16,2026-03-01
L04,Operating Margin %,2.34,2025-05-01
L11,Cost per Unit Shipped,456.87,2026-03-01
L05,Capex to Revenue %,28.09,2025-11-01
L12,Operating Margin %,36.42,2025-09-01
L09,Days Sales Outstanding,28.0,2025-04-01
L06,Headcount Utilization %,15.73,2025-10-01
L12,Headcount Utilization %,30.78,2025-11-01
L09,Cost per Unit Shipped,354.72,2025-01-01
L03,Cost per Unit Shipped,202.72,2026-05-01
L07,Headcount Utilization %,25.31,2025-10-01
L03,Operating Margin %,1.56,2025-09-01
L06,Revenue per FTE,164316.8,2026-04-01
L07,Cost per Unit Shipped,25.62,2025-11-01
L10,Headcount Utilization %,39.31,2025-09-01
L11,Capex to Revenue %,15.54,2026-05-01
L07,Cost per Unit Shipped,106.1,2025-09-01
L02,Days Sales Outstanding,54.5,2025-11-01
L06,Days Sales Outstanding,32.1,2025-05-01
L09,Days Sales Outstanding,48.0,2026-05-01
L09,Days Sales Outstanding,39.1,2026-01-01
L12,Capex to Revenue %,4.26,2025-08-01
L07,Cost per Unit Shipped,211.26,2025-02-01
L03,Operating Margin %,39.93,2025-01-01
L02,Cost per Unit Shipped,280.23,2025-07-01
L01,Revenue per FTE,345826.52,2026-04-01
L05,Cost per Unit Shipped,451.76,2026-03-01
L02,Capex to Revenue %,10.43,2025-01-01
L01,Operating Margin %,6.34,2025-11-01
L12,Cost per Unit Shipped,429.13,2025-09-01
L09,Capex to Revenue %,33.11,2025-11-01
L09,Operating Margin %,14.55,2025-10-01
L10,Cost per Unit Shipped,133.51,2025-04-01
L10,Cost per Unit Shipped,478.73,2025-02-01
L04,Revenue per FTE,121006.66,2026-03-01
L04,Capex to Revenue %,39.84,2025-12-01
L12,Days Sales Outstanding,31.8,2026-04-01
L01,Capex to Revenue %,33.06,2025-11-01
L03,Cost per Unit Shipped,249.25,2026-01-01
L09,Revenue per FTE,322924.54,2026-05-01
L07,Cost per Unit Shipped,375.37,2026-05-01
L07,Revenue per FTE,300405.3,2026-01-01
L03,Capex to Revenue %,17.17,2025-06-01
L11,Cost per Unit Shipped,333.46,2026-06-01
L03,Capex to Revenue %,32.54,2025-06-01
L01,Headcount Utilization %,10.61,2026-05-01
L04,Revenue per FTE,93355.01,2025-07-01
L09,Capex to Revenue %,19.79,2025-11-01
L12,Revenue per FTE,235186.71,2026-02-01
L07,Cost per Unit Shipped,253.68,2026-04-01
L10,Days Sales Outstanding,37.8,2025-09-01
L09,Operating Margin %,43.84,2026-04-01
L12,Revenue per FTE,345904.29,2025-11-01
L08,Revenue per FTE,105391.81,2025-05-01
L06,Cost per Unit Shipped,45.17,2025-07-01
L08,Revenue per FTE,298777.3,2025-12-01
L12,Revenue per FTE,375605.05,2025-06-01
L12,Capex to Revenue %,13.08,2026-04-01
L12,Days Sales Outstanding,24.8,2025-09-01
L11,Headcount Utilization %,43.71,2025-10-01
L07,Cost per Unit Shipped,217.13,2025-06-01
L06,Headcount Utilization %,35.76,2025-04-01
L10,Days Sales Outstanding,34.1,2026-02-01
L04,Revenue per FTE,193789.67,2026-02-01
L06,Headcount Utilization %,35.26,2025-12-01
L07,Revenue per FTE,275640.75,2025-04-01
L08,Capex to Revenue %,11.45,2026-02-01
L12,Headcount Utilization %,25.89,2025-02-01
L04,Revenue per FTE,341816.48,2026-05-01
L01,Headcount Utilization %,35.51,2026-01-01
L01,Headcount Utilization %,26.33,2025-11-01
L11,Cost per Unit Shipped,90.41,2025-05-01
L05,Operating Margin %,24.07,2025-05-01
L09,Cost per Unit Shipped,156.13,2025-07-01
L11,Capex to Revenue %,22.1,2025-06-01
L07,Capex to Revenue %,25.98,2025-02-01
L09,Revenue per FTE,289570.19,2026-02-01
L01,Headcount Utilization %,43.72,2026-05-01
L05,Headcount Utilization %,9.65,2025-07-01
L05,Capex to Revenue %,4.17,2025-01-01
L06,Operating Margin %,33.9,2026-03-01
L06,Capex to Revenue %,18.61,2026-01-01
L12,Days Sales Outstanding,71.1,2025-04-01
L06,Revenue per FTE,213385.24,2025-09-01
L01,Revenue per FTE,267446.58,2025-08-01
L07,Headcount Utilization %,22.32,2026-02-01
L05,Cost per Unit Shipped,318.33,2026-01-01
L03,Days Sales Outstanding,22.6,2025-05-01
L06,Cost per Unit Shipped,200.57,2025-07-01
L12,Revenue per FTE,114267.37,2025-03-01
L12,Operating Margin %,37.12,2026-05-01
L06,Days Sales Outstanding,60.6,2026-03-01
L11,Operating Margin %,17.03,2026-05-01
L01,Operating Margin %,39.7,2025-03-01
L06,Revenue per FTE,258266.5,2025-07-01
L01,Cost per Unit Shipped,229.72,2026-04-01
L06,Capex to Revenue %,4.93,2025-05-01
L03,Days Sales Outstanding,42.9,2025-06-01
L04,Capex to Revenue %,18.5,2025-12-01
L11,Capex to Revenue %,13.7,2025-09-01
