invoice_id,po_id,invoice_date,amount,payment_status
INV000001,PO000228,2024-02-15,23033.05,paid
INV000002,PO000388,2024-01-04,77860.56,paid
INV000003,PO000148,2026-05-24,2925.99,overdue
INV000004,PO000106,2025-12-01,54285.25,paid
INV000005,PO000110,2026-04-21,33474.15,overdue
INV000006,PO000096,2024-11-21,58422.07,paid
INV000007,PO000213,2025-12-02,12059.13,paid
INV000008,PO000424,2024-08-22,57511.74,paid
INV000009,PO000216,2026-01-25,49665.06,overdue
INV000010,PO000462,2024-12-23,21381.2,pending
INV000011,PO000183,2025-04-04,67027.22,paid
INV000012,PO000033,2024-08-14,115162.89,overdue
INV000013,PO000496,2023-12-08,70879.16,pending
INV000014,PO000535,2024-10-11,109351.5,pending
INV000015,PO000031,2025-05-01,2913.9,paid
INV000016,PO000157,2025-07-14,102317.79,pending
INV000017,PO000223,2024-10-13,38784.18,pending
INV000018,PO000130,2025-07-16,32437.91,pending
INV000019,PO000095,2025-05-01,83612.25,paid
INV000020,PO000479,2023-09-07,51568.1,overdue
INV000021,PO000198,2025-10-29,20574.63,paid
INV000022,PO000288,2024-05-28,12320.98,paid
INV000023,PO000320,2023-01-25,93744.92,overdue
INV000024,PO000500,2024-02-04,104200.59,paid
INV000025,PO000279,2025-02-15,73578.91,paid
INV000026,PO000440,2025-06-11,67009.33,paid
INV000027,PO000066,2024-05-19,19901.94,pending
INV000028,PO000524,2026-02-25,69333.2,paid
INV000029,PO000544,2026-06-27,47120.53,pending
INV000030,PO000331,2024-12-19,93367.59,paid
INV000031,PO000075,2023-04-20,77589.25,paid
INV000032,PO000322,2024-01-05,1334.77,paid
INV000033,PO000337,2025-05-10,55021.37,paid
INV000034,PO000239,2023-12-17,8002.5,paid
INV000035,PO000218,2024-04-03,25817.19,paid
INV000036,PO000077,2025-08-31,105355.82,paid
INV000037,PO000446,2023-11-17,96017.87,pending
INV000038,PO000051,2025-10-25,58941.08,overdue
INV000039,PO000432,2026-01-11,14818.12,pending
INV000040,PO000335,2023-04-01,45300.62,paid
INV000041,PO000292,2024-04-02,76023.93,overdue
INV000042,PO000005,2023-07-25,33698.29,paid
INV000043,PO000413,2023-07-01,105728.72,overdue
INV000044,PO000041,2024-09-29,76154.57,pending
INV000045,PO000098,2024-12-25,85399.28,paid
INV000046,PO000355,2024-02-19,9596.58,paid
INV000047,PO000506,2025-02-01,5745.17,paid
INV000048,PO000466,2025-11-11,100173.6,overdue
INV000049,PO000125,2023-12-30,110661.5,pending
INV000050,PO000230,2025-04-14,97438.78,pending
INV000051,PO000331,2025-01-05,85517.05,pending
INV000052,PO000091,2024-09-10,85499.91,paid
INV000053,PO000551,2023-09-23,110238.2,overdue
INV000054,PO000266,2026-05-31,13252.66,overdue
INV000055,PO000077,2025-08-11,38994.95,paid
INV000056,PO000389,2023-04-23,82502.72,overdue
INV000057,PO000598,2025-07-14,14324.39,paid
INV000058,PO000152,2024-08-20,104782.65,overdue
INV000059,PO000424,2024-09-27,52830.65,pending
INV000060,PO000541,2025-11-09,68274.82,paid
