po_id,supplier_id,po_date,status,total_amount,currency
PO000001,SUP00025,2024-06-29,approved,59426.64,USD
PO000002,SUP00027,2026-05-13,approved,98934.64,USD
PO000003,SUP00025,2025-05-06,approved,95147.51,USD
PO000004,SUP00034,2024-04-27,closed,108902.56,USD
PO000005,SUP00059,2023-06-25,draft,16201.29,USD
PO000006,SUP00051,2024-03-10,closed,85087.27,USD
PO000007,SUP00033,2023-05-30,draft,7285.59,USD
PO000008,SUP00031,2025-08-22,cancelled,119609.55,EUR
PO000009,SUP00077,2023-04-04,draft,60668.9,USD
PO000010,SUP00051,2025-01-29,approved,107094.06,USD
PO000011,SUP00023,2024-06-17,approved,59267.57,USD
PO000012,SUP00060,2023-09-28,draft,85303.11,USD
PO000013,SUP00034,2023-08-28,approved,117427.36,USD
PO000014,SUP00036,2025-01-08,cancelled,34130.33,EUR
PO000015,SUP00079,2024-06-24,closed,52434.1,USD
PO000016,SUP00063,2023-11-06,closed,110761.62,USD
PO000017,SUP00057,2023-04-19,approved,6784.42,USD
PO000018,SUP00061,2024-06-16,approved,56189.16,USD
PO000019,SUP00064,2023-03-25,closed,118661.03,USD
PO000020,SUP00059,2025-10-06,approved,86441.73,USD
PO000021,SUP00045,2023-07-11,approved,34272.94,USD
PO000022,SUP00066,2024-07-12,closed,79660.74,USD
PO000023,SUP00001,2025-12-13,closed,21873.12,EUR
PO000024,SUP00032,2025-10-17,closed,106512.28,USD
PO000025,SUP00016,2025-03-18,closed,111515.53,USD
PO000026,SUP00042,2023-11-11,draft,55362.92,USD
PO000027,SUP00062,2025-07-18,closed,32500.88,USD
PO000028,SUP00043,2023-03-31,closed,114119.79,USD
PO000029,SUP00073,2023-09-22,approved,6079.7,USD
PO000030,SUP00042,2023-04-24,closed,65771.96,USD
PO000031,SUP00012,2025-03-27,approved,28999.6,USD
PO000032,SUP00052,2023-07-02,draft,25184.67,USD
PO000033,SUP00052,2024-08-06,closed,114543.29,USD
PO000034,SUP00039,2025-10-02,closed,88372.74,EUR
PO000035,SUP00078,2023-09-26,closed,11759.35,USD
PO000036,SUP00026,2025-09-29,closed,46723.72,USD
PO000037,SUP00077,2025-05-16,draft,50848.73,USD
PO000038,SUP00024,2025-06-08,closed,11380.46,USD
PO000039,SUP00060,2024-04-04,closed,85707.85,EUR
PO000040,SUP00068,2025-12-10,draft,56319.25,USD
