item_id,board_id,item_name,status,created_at,updated_at
ITM000001,BRD0013,Update device documentation,Done,2026-01-31,2026-02-12
ITM000002,BRD0012,Close out batch task,Stuck,2024-04-17,2024-05-18
ITM000003,BRD0004,Approve region request,Done,2024-11-04,2024-12-16
ITM000004,BRD0012,Coordinate device fleet shipment,Done,2025-08-14,2025-12-05
ITM000005,BRD0005,Update facility documentation,Working on it,2025-11-08,2025-11-26
ITM000006,BRD0010,Review contract submission,Done,2026-03-24,2026-04-18
ITM000007,BRD0003,Review region submission,Done,2026-05-05,2026-08-14
ITM000008,BRD0004,Update contract documentation,Working on it,2025-08-08,2025-10-08
ITM000009,BRD0008,Escalate device issue,Done,2026-04-16,2026-06-28
ITM000010,BRD0007,Coordinate device shipment,Done,2024-09-26,2024-12-04
ITM000011,BRD0008,Follow up with batch,Done,2025-06-10,2025-10-06
ITM000012,BRD0006,Escalate region issue,Working on it,2026-04-06,2026-07-26
ITM000013,BRD0008,Coordinate site shipment,Done,2024-12-16,2025-03-23
ITM000014,BRD0009,Approve site request,Done,2025-03-12,2025-06-02
ITM000015,BRD0001,Update site documentation,Working on it,2025-04-13,2025-07-28
ITM000016,BRD0002,Follow up with audit,Done,2024-05-09,2024-08-28
ITM000017,BRD0006,Approve shipment request,Working on it,2024-03-25,2024-07-13
ITM000018,BRD0009,Update contract documentation,Done,2026-06-25,2026-08-29
ITM000019,BRD0004,Update device documentation,Done,2024-07-22,2024-10-23
ITM000020,BRD0012,Escalate audit issue,Done,2024-06-04,2024-08-15
ITM000021,BRD0014,Review audit submission,Working on it,2024-08-23,2024-11-19
ITM000022,BRD0009,Update facility documentation,Working on it,2025-11-27,2025-12-18
ITM000023,BRD0011,Schedule region inspection,Done,2025-09-16,2025-11-09
ITM000024,BRD0014,Schedule batch inspection,Working on it,2025-02-14,2025-03-23
ITM000025,BRD0007,Close out shipment task,Done,2024-05-19,2024-08-19
ITM000026,BRD0005,Review site submission,Working on it,2025-07-23,2025-10-16
ITM000027,BRD0005,Schedule device fleet inspection,Done,2024-03-09,2024-03-16
ITM000028,BRD0013,Close out region task,Working on it,2026-04-22,2026-05-12
ITM000029,BRD0013,Schedule contract inspection,Done,2025-10-23,2025-12-15
ITM000030,BRD0007,Schedule device inspection,Done,2024-03-13,2024-04-10
ITM000031,BRD0005,Update contract documentation,Working on it,2026-01-27,2026-04-11
ITM000032,BRD0011,Update device documentation,Working on it,2025-11-19,2025-12-24
ITM000033,BRD0013,Escalate vendor issue,Done,2025-06-17,2025-07-26
