account_id,account_name,industry,billing_state,owner_id,created_date
001000001,Lakeside Health System,Pharmaceuticals,OH,0050008,2022-10-13
001000002,Lakeside Labs,Medical Devices,WA,0050002,2022-03-03
001000003,Cedar Clinic Group,Biotechnology,NJ,0050018,2023-02-12
001000004,Beacon University Hospital,Biotechnology,CO,0050019,2023-07-24
001000005,Summit Regional Hospital,Government,MD,0050009,2022-11-15
001000006,Harborview Care Network,Medical Devices,CA,0050013,2022-07-18
001000007,Pinecrest Care Network,Pharmaceuticals,NY,0050024,2024-07-29
001000008,Beacon Medical Center,Government,CA,0050018,2023-08-24
001000009,Elmhurst Care Network,Biotechnology,CA,0050002,2025-09-16
001000010,Meridian Diagnostics,Medical Devices,OH,0050004,2024-02-18
001000011,Ashford Surgical Center,Life Sciences,IL,0050012,2023-12-29
001000012,Harborview Diagnostics,Medical Devices,IL,0050018,2026-02-02
001000013,Meridian Regional Hospital,Higher Education,FL,0050009,2025-08-03
001000014,Beacon Clinic Group,Life Sciences,NY,0050008,2022-03-07
001000015,Highland University Hospital,Pharmaceuticals,CA,0050007,2025-03-07
001000016,Highland Clinic Group,Higher Education,FL,0050021,2024-07-28
001000017,Northgate Diagnostics,Hospital & Health Care,OH,0050024,2025-02-23
001000018,Beacon Diagnostics,Government,FL,0050012,2023-03-26
001000019,Northgate Labs,Higher Education,CA,0050025,2022-04-07
001000020,Lakeside Regional Hospital,Hospital & Health Care,WA,0050020,2022-05-11
001000021,Fairview University Hospital,Higher Education,NC,0050018,2022-01-24
001000022,Lakeside Labs,Pharmaceuticals,MD,0050004,2023-08-25
001000023,Ironwood Regional Hospital,Higher Education,NJ,0050024,2026-01-13
001000024,Ashford Labs,Hospital & Health Care,TX,0050021,2023-09-04
001000025,Vantage Health Partners,Biotechnology,MA,0050012,2026-04-11
001000026,Union Labs,Healthcare,MD,0050016,2022-02-09
001000027,Lakeside Care Network,Pharmaceuticals,OH,0050002,2023-05-09
001000028,Crestwood Medical Center,Medical Devices,MN,0050003,2026-04-07
001000029,Beacon Regional Hospital,Hospital & Health Care,MN,0050018,2022-12-05
001000030,Ashford Labs,Government,PA,0050018,2026-03-27
001000031,Harborview Diagnostics,Government,VA,0050015,2024-11-25
001000032,Sterling Medical Center,Biotechnology,OH,0050003,2023-11-24
001000033,Summit Health Partners,Biotechnology,OH,0050001,2022-05-26
001000034,Riverside Clinic Group,Medical Devices,NY,0050011,2022-05-26
001000035,Vantage Clinic Group,Pharmaceuticals,MN,0050007,2025-01-09
001000036,Northgate Health Partners,Higher Education,OH,0050016,2024-04-13
001000037,Harborview Medical Center,Medical Devices,WA,0050012,2024-05-17
001000038,Ironwood Surgical Center,Healthcare,TX,0050002,2024-04-04
001000039,Highland Medical Center,Biotechnology,PA,0050007,2025-01-03
001000040,Sterling Regional Hospital,Government,IL,0050009,2024-08-05
001000041,Meridian Medical Center,Higher Education,TX,0050002,2025-08-28
001000042,Beacon Health System,Medical Devices,OH,0050006,2024-04-12
001000043,Cascade Surgical Center,Biotechnology,FL,0050002,2022-12-04
001000044,Fairview Health System,Government,NC,0050015,2023-08-08
001000045,Ironwood Labs,Higher Education,MA,0050007,2023-08-31
001000046,Harborview Health System,Healthcare,MD,0050002,2022-04-13
001000047,Crestwood Surgical Center,Hospital & Health Care,NY,0050017,2022-06-14
001000048,Union Medical Center,Medical Devices,OH,0050013,2022-09-03
001000049,Crestwood Clinic Group,Healthcare,CA,0050014,2025-09-08
001000050,Crestwood Health Partners,Life Sciences,NC,0050007,2025-10-03
