opportunity_id,account_id,stage_name,amount,close_date,created_date,last_modified_date
006000001,001000012,Closed Lost,231751.62,2026-08-21,2026-06-08,2026-06-20
006000002,001000061,Closed Won,106069.72,2026-11-01,2026-04-11,2026-09-29
006000003,001000191,Closed Won,407443.41,2025-12-13,2025-09-10,2025-11-02
006000004,001000168,Prospecting,369563.54,2025-05-19,2024-12-12,2024-12-20
006000005,001000177,Proposal,335320.4,2024-10-20,2024-04-03,2024-04-28
006000006,001000176,Proposal,676763.68,2026-12-15,2026-05-31,2026-06-15
006000007,001000102,Qualification,726314.12,2026-06-08,2026-04-08,2026-05-20
006000008,001000055,Negotiation,449873.74,2026-01-25,2025-12-16,2026-01-06
006000009,001000063,Closed Lost,591298.68,2025-10-23,2025-09-03,2025-10-21
006000010,001000142,Qualification,165883.76,2026-11-03,2026-06-22,2026-09-14
006000011,001000199,Prospecting,675895.62,2023-09-07,2023-04-04,2023-05-11
006000012,001000034,Negotiation,599892.8,2023-02-03,2023-01-06,2023-01-10
006000013,001000004,Proposal,592381.49,2025-06-09,2025-05-17,2025-05-22
006000014,001000068,Prospecting,557579.95,2025-10-03,2025-07-22,2025-07-30
006000015,001000122,Proposal,274719.04,2025-07-29,2025-05-20,2025-07-16
006000016,001000129,Qualification,463254.59,2026-08-07,2026-02-19,2026-06-16
006000017,001000165,Closed Lost,50314.93,2027-01-27,2026-06-21,2026-10-08
006000018,001000176,Prospecting,535738.98,2026-06-26,2026-05-05,2026-05-10
006000019,001000083,Negotiation,53933.26,2026-02-26,2025-08-29,2025-12-04
006000020,001000153,Negotiation,343017.99,2026-02-20,2025-06-30,2025-07-25
006000021,001000180,Prospecting,492761.15,2025-11-16,2025-07-14,2025-09-07
006000022,001000116,Closed Won,313291.11,2026-06-13,2025-11-06,2026-02-20
006000023,001000187,Prospecting,322939.18,2026-09-16,2026-04-24,2026-07-28
006000024,001000040,Closed Won,358329.57,2025-01-03,2024-11-06,2024-11-11
006000025,001000111,Prospecting,555403.02,2023-06-17,2023-05-03,2023-06-09
006000026,001000144,Negotiation,504159.88,2026-12-28,2026-06-15,2026-12-02
006000027,001000193,Proposal,687303.53,2025-05-26,2024-12-15,2025-05-17
006000028,001000080,Proposal,435549.3,2023-06-14,2023-03-12,2023-06-04
006000029,001000124,Qualification,85622.69,2026-12-08,2026-05-19,2026-06-17
006000030,001000196,Qualification,173488.53,2024-07-23,2024-06-25,2024-07-14
006000031,001000169,Closed Won,204248.56,2025-03-25,2024-10-22,2025-01-09
006000032,001000087,Proposal,140147.14,2024-10-09,2024-03-03,2024-03-20
006000033,001000037,Closed Won,728998.69,2024-12-21,2024-08-18,2024-10-05
006000034,001000108,Proposal,122269.91,2024-05-10,2023-11-11,2024-04-04
006000035,001000153,Prospecting,44193.58,2024-05-08,2024-03-29,2024-04-03
006000036,001000070,Proposal,320891.01,2026-12-10,2026-04-27,2026-07-05
006000037,001000056,Closed Won,89794.04,2025-03-09,2024-12-28,2025-02-02
006000038,001000174,Closed Won,367541.4,2026-04-26,2026-03-19,2026-04-02
006000039,001000102,Closed Lost,45812.56,2026-01-11,2025-07-26,2025-09-18
006000040,001000197,Prospecting,195362.03,2026-06-09,2026-03-25,2026-03-25
006000041,001000128,Closed Won,135892.63,2025-03-03,2024-10-22,2025-02-27
006000042,001000144,Closed Won,605619.14,2027-01-08,2026-06-04,2026-12-10
006000043,001000011,Proposal,347516.92,2024-09-08,2024-03-17,2024-08-11
006000044,001000110,Negotiation,533576.73,2026-03-23,2025-10-11,2025-11-09
006000045,001000104,Prospecting,246952.29,2027-01-21,2026-05-16,2026-12-14
006000046,001000177,Closed Lost,70656.76,2023-11-27,2023-07-11,2023-10-30
006000047,001000151,Proposal,63592.08,2026-04-17,2025-10-11,2025-12-06
006000048,001000086,Closed Won,61902.64,2026-08-14,2026-06-02,2026-08-08
006000049,001000131,Qualification,583290.03,2026-06-18,2026-03-20,2026-04-19
006000050,001000027,Prospecting,151967.49,2024-05-09,2024-03-17,2024-03-28
006000051,001000198,Negotiation,350645.04,2026-11-27,2026-05-31,2026-11-07
006000052,001000081,Qualification,55873.26,2026-06-27,2026-01-08,2026-03-19
006000053,001000152,Prospecting,382965.98,2026-04-25,2025-08-17,2025-12-10
006000054,001000010,Prospecting,624613.99,2024-07-06,2024-05-06,2024-06-14
006000055,001000153,Negotiation,349720.19,2025-06-14,2025-05-09,2025-06-06
006000056,001000147,Closed Won,244537.44,2026-03-19,2025-12-17,2025-12-24
006000057,001000116,Prospecting,674849.49,2025-09-12,2025-07-16,2025-08-17
006000058,001000166,Qualification,189569.07,2027-01-12,2026-05-18,2026-09-29
006000059,001000134,Negotiation,276103.98,2025-03-15,2024-08-14,2024-11-26
006000060,001000199,Proposal,450424.97,2025-04-01,2025-02-12,2025-03-05
006000061,001000025,Negotiation,292990.33,2026-08-12,2026-05-13,2026-06-24
006000062,001000021,Negotiation,110364.14,2024-07-01,2024-01-10,2024-06-25
006000063,001000179,Closed Won,101068.99,2025-09-08,2025-03-19,2025-08-09
006000064,001000097,Negotiation,249715.03,2024-11-18,2024-09-17,2024-10-28
006000065,001000172,Proposal,274561.93,2026-01-19,2025-07-30,2025-09-14
006000066,001000055,Proposal,575786.37,2026-06-08,2026-01-29,2026-03-05
006000067,001000040,Prospecting,634099.15,2024-12-20,2024-11-16,2024-12-07
006000068,001000197,Negotiation,449948.6,2026-04-03,2025-12-26,2026-01-18
006000069,001000178,Closed Won,607737.57,2025-03-24,2024-07-28,2024-08-08
006000070,001000106,Proposal,541091.33,2026-04-27,2025-11-18,2026-03-12
006000071,001000060,Negotiation,235553.58,2026-10-20,2026-06-28,2026-08-14
006000072,001000174,Closed Lost,738407.65,2026-11-12,2026-06-06,2026-09-11
006000073,001000129,Negotiation,724869.77,2024-07-25,2024-05-01,2024-06-02
006000074,001000014,Negotiation,656217.12,2025-06-21,2025-04-15,2025-06-20
006000075,001000032,Qualification,573522.04,2025-05-01,2024-08-29,2025-04-17
006000076,001000132,Prospecting,330917.06,2026-10-12,2026-06-06,2026-09-29
006000077,001000090,Closed Lost,314098.19,2026-11-16,2026-04-24,2026-06-23
006000078,001000099,Closed Lost,284309.94,2026-09-08,2026-03-14,2026-04-08
006000079,001000183,Negotiation,594578.57,2024-12-14,2024-11-10,2024-11-28
006000080,001000121,Closed Won,108400.56,2027-02-28,2026-06-29,2026-12-03
006000081,001000002,Closed Lost,19157.89,2023-08-17,2023-05-18,2023-07-27
006000082,001000187,Negotiation,320324.8,2026-10-31,2026-05-22,2026-07-21
006000083,001000078,Prospecting,182637.43,2027-01-14,2026-05-10,2026-05-26
006000084,001000029,Closed Won,377372.77,2025-12-29,2025-12-06,2025-12-26
006000085,001000132,Negotiation,540315.52,2026-02-25,2025-07-06,2025-07-06
006000086,001000158,Proposal,430144.47,2023-07-01,2023-05-04,2023-06-06
006000087,001000093,Prospecting,396914.29,2025-05-07,2025-04-12,2025-04-24
006000088,001000121,Prospecting,293226.58,2026-11-18,2026-06-27,2026-07-01
006000089,001000092,Closed Won,261877.86,2026-09-03,2026-06-27,2026-08-08
006000090,001000035,Prospecting,411780.24,2026-03-16,2025-07-07,2026-03-15
006000091,001000179,Proposal,140797.11,2025-06-26,2025-05-10,2025-06-24
006000092,001000199,Closed Lost,32552.92,2024-06-21,2024-05-15,2024-05-27
006000093,001000011,Proposal,236006.53,2025-10-23,2025-02-08,2025-06-17
006000094,001000010,Closed Won,147372.06,2025-03-28,2025-02-17,2025-03-10
006000095,001000070,Prospecting,279174.28,2026-12-01,2026-04-05,2026-11-20
006000096,001000099,Proposal,144178.83,2027-03-03,2026-06-07,2026-12-12
006000097,001000133,Qualification,66545.57,2025-12-18,2025-10-24,2025-11-20
006000098,001000155,Closed Lost,139440.08,2025-01-28,2024-08-02,2024-08-28
006000099,001000021,Proposal,225251.76,2025-03-15,2024-07-25,2024-09-05
006000100,001000177,Proposal,338111.6,2025-07-23,2024-11-28,2025-02-06
006000101,001000164,Closed Lost,711188.76,2026-01-27,2025-06-19,2025-09-20
006000102,001000132,Closed Won,511160.9,2026-07-09,2026-06-09,2026-06-13
006000103,001000156,Closed Won,331438.75,2022-11-06,2022-09-18,2022-10-03
006000104,001000200,Negotiation,274802.18,2026-01-18,2025-12-18,2025-12-27
006000105,001000174,Proposal,281368.56,2026-07-21,2026-05-28,2026-07-03
006000106,001000036,Negotiation,301535.36,2026-07-14,2026-02-07,2026-04-11
006000107,001000030,Prospecting,143605.8,2026-12-31,2026-06-01,2026-10-22
006000108,001000031,Qualification,198915.88,2026-06-28,2026-02-24,2026-05-13
006000109,001000074,Closed Won,748978.49,2025-08-21,2025-06-05,2025-06-22
006000110,001000019,Proposal,674515.88,2024-12-02,2024-10-04,2024-11-24
006000111,001000175,Closed Lost,739998.12,2026-06-21,2025-12-11,2026-06-10
006000112,001000017,Negotiation,221319.9,2025-10-29,2025-07-26,2025-10-25
006000113,001000182,Closed Lost,480086.52,2026-08-07,2026-03-31,2026-05-01
006000114,001000052,Closed Won,181368.46,2026-01-11,2025-12-14,2025-12-25
006000115,001000142,Negotiation,353217.35,2026-06-22,2026-04-02,2026-06-19
006000116,001000023,Prospecting,301629.19,2026-12-26,2026-05-15,2026-11-27
006000117,001000105,Closed Won,59944.28,2026-07-09,2026-05-18,2026-06-15
006000118,001000120,Closed Won,261663.51,2026-08-12,2026-04-26,2026-08-02
006000119,001000034,Proposal,683480.64,2022-12-03,2022-09-16,2022-11-21
006000120,001000040,Proposal,125665.38,2025-10-01,2025-03-23,2025-08-02
006000121,001000073,Closed Won,191700.96,2026-08-29,2026-03-27,2026-04-28
006000122,001000161,Proposal,402441.13,2026-05-10,2026-01-29,2026-04-14
006000123,001000149,Qualification,495755.99,2025-05-24,2025-04-18,2025-04-19
006000124,001000021,Prospecting,482883.03,2025-09-16,2025-04-19,2025-06-11
006000125,001000197,Negotiation,465490.78,2026-07-20,2025-10-24,2026-03-21
006000126,001000165,Closed Lost,364793.89,2027-02-08,2026-07-01,2026-09-15
006000127,001000117,Prospecting,49635.21,2026-11-15,2026-04-02,2026-08-03
006000128,001000119,Qualification,456961.9,2025-12-20,2025-06-25,2025-09-21
006000129,001000103,Prospecting,281052.45,2026-03-02,2025-12-23,2026-02-01
006000130,001000062,Proposal,204266.4,2026-04-15,2026-01-18,2026-01-30
006000131,001000013,Qualification,291191.63,2027-01-29,2026-06-14,2026-08-16
006000132,001000041,Closed Won,700644.89,2026-05-27,2026-02-04,2026-05-12
006000133,001000041,Proposal,388470.01,2026-10-29,2026-05-10,2026-09-14
006000134,001000006,Prospecting,297965.43,2025-06-26,2025-02-08,2025-04-04
006000135,001000150,Proposal,42652.6,2027-02-28,2026-06-18,2026-11-11
006000136,001000138,Prospecting,85085.33,2025-04-08,2024-11-09,2025-02-10
006000137,001000196,Proposal,38705.58,2022-09-04,2022-05-13,2022-06-28
006000138,001000142,Qualification,292829.87,2026-08-12,2026-03-07,2026-08-10
006000139,001000031,Prospecting,77027.71,2026-06-18,2025-12-12,2026-05-03
006000140,001000094,Closed Won,153298.12,2027-01-22,2026-06-16,2026-10-22
006000141,001000011,Prospecting,107092.1,2025-08-18,2024-12-04,2025-07-25
006000142,001000039,Negotiation,389051.77,2026-05-31,2025-12-04,2026-01-14
006000143,001000101,Closed Lost,555792.92,2026-09-06,2026-03-03,2026-07-10
006000144,001000131,Negotiation,533011.16,2026-11-20,2026-03-07,2026-03-15
006000145,001000095,Proposal,86655.42,2026-08-27,2026-03-08,2026-08-16
006000146,001000007,Negotiation,202820.18,2026-10-09,2026-05-31,2026-06-13
006000147,001000150,Proposal,395553.09,2026-07-19,2026-04-20,2026-07-16
006000148,001000063,Prospecting,711412.85,2025-09-17,2025-05-28,2025-05-30
006000149,001000113,Proposal,117816.29,2026-10-12,2026-06-15,2026-08-06
